surv	term	estimate	std.error	statistic	p.value	conf.low	conf.high
OS	import$NOTE_TRANSLOCATIONpannello incompleto	0.8310892137495581	0.2710966338752761	-0.6824803766277063	0.49493524695344815	0.4885283514008844	1.413857106205215
OS	import$NOTE_TRANSLOCATIONt(11_14)	1.138854474490403	0.25144757279201707	0.5170974960198361	0.6050881014896898	0.6957218937808273	1.8642355884740942
OS	import$NOTE_TRANSLOCATIONt(14_16)	3.184554895756282	0.33454662214780523	3.4623351497819015	5.355098554734602e-4	1.653035341030212	6.135010929509191
OS	import$NOTE_TRANSLOCATIONt(14_20)	8.916632675147651	0.4367856361247877	5.009135355148418	5.467511174746169e-7	3.787985156526959	20.989083900319898
OS	import$NOTE_TRANSLOCATIONt(4_14)	2.078874848891771	0.21257823649525587	3.4426233907392274	5.761009830304217e-4	1.3705075173943246	3.153372442328116
OS	import$NOTE_TRANSLOCATIONt(6_14)	1.225638265304398	1.0102397922081021	0.20139945266164755	0.8403862431557817	0.1692172532798719	8.877281295270011
surv	term	estimate	std.error	statistic	p.value	conf.low	conf.high
PFS	import$NOTE_TRANSLOCATIONpannello incompleto	0.8936133700575963	0.20228073289009826	-0.5560691209482536	0.5781636035145922	0.6011294235931918	1.3284075338925712
PFS	import$NOTE_TRANSLOCATIONt(11_14)	1.1652133974082846	0.16807287102052068	0.9097496999724051	0.3629545270650682	0.8381882765952702	1.6198296962764018
PFS	import$NOTE_TRANSLOCATIONt(14_16)	2.1240231234037337	0.2774808880074272	2.7148247775003176	0.006631084500665907	1.2330113670428962	3.6589072488224668
PFS	import$NOTE_TRANSLOCATIONt(14_20)	6.210444406492156	0.39632487332667843	4.607917845524126	4.06721291771564e-6	2.8560797807669887	13.504391574023886
PFS	import$NOTE_TRANSLOCATIONt(4_14)	1.813043019402094	0.15871420156083638	3.748918836100053	1.7759854536905848e-4	1.328343318877149	2.47460497861447
PFS	import$NOTE_TRANSLOCATIONt(6_14)	1.0338206212196968	0.713630922490502	0.0466085192546284	0.9628252420279958	0.25527098144067134	4.186864761623838
surv	term	estimate	std.error	statistic	p.value	conf.low	conf.high
OS	import$NOTE_TRANSLOCATIONpannello incompleto	0.8310892137495578	0.2710966338752762	-0.6824803766277077	0.4949352469534473	0.4885283514008841	1.4138571062052148
OS	import$NOTE_TRANSLOCATIONt(11_14)	1.1388544744904026	0.25144757279201707	0.5170974960198347	0.6050881014896908	0.695721893780827	1.8642355884740935
OS	import$NOTE_TRANSLOCATIONt(14_16)	3.1845548957562815	0.33454662214780523	3.4623351497819006	5.355098554734618e-4	1.6530353410302119	6.135010929509191
OS	import$NOTE_TRANSLOCATIONt(14_20)	8.916632675147648	0.4367856361247877	5.009135355148416	5.467511174746216e-7	3.787985156526957	20.989083900319898
OS	import$NOTE_TRANSLOCATIONt(4_14)	2.078874848891771	0.21257823649525598	3.4426233907392256	5.761009830304254e-4	1.3705075173943244	3.153372442328116
OS	import$NOTE_TRANSLOCATIONt(6_14)	1.2256382653043973	1.0102397922081023	0.20139945266164688	0.8403862431557823	0.1692172532798717	8.877281295270008
surv	term	estimate	std.error	statistic	p.value	conf.low	conf.high
PFS	import$NOTE_TRANSLOCATIONpannello incompleto	0.8936133700575961	0.20228073289009835	-0.5560691209482548	0.5781636035145914	0.6011294235931915	1.328407533892571
PFS	import$NOTE_TRANSLOCATIONt(11_14)	1.1652133974082848	0.16807287102052063	0.9097496999724057	0.36295452706506787	0.8381882765952703	1.6198296962764018
PFS	import$NOTE_TRANSLOCATIONt(14_16)	2.1240231234037337	0.2774808880074271	2.714824777500319	0.006631084500665877	1.2330113670428966	3.658907248822466
PFS	import$NOTE_TRANSLOCATIONt(14_20)	6.210444406492159	0.3963248733266784	4.607917845524128	4.0672129177156056e-6	2.85607978076699	13.504391574023892
PFS	import$NOTE_TRANSLOCATIONt(4_14)	1.813043019402094	0.15871420156083632	3.7489188361000543	1.775985453690575e-4	1.328343318877149	2.47460497861447
PFS	import$NOTE_TRANSLOCATIONt(6_14)	1.0338206212196968	0.7136309224905018	0.04660851925462863	0.9628252420279956	0.25527098144067156	4.186864761623837
